,Hour,Trips,North,South,Weekday,Bridge,Year
0,0,772,415,357,SUN,Lion's Gate,2021
1,1,479,251,227,SUN,Lion's Gate,2021
2,2,305,163,141,SUN,Lion's Gate,2021
3,3,206,111,95,SUN,Lion's Gate,2021
4,4,161,86,74,SUN,Lion's Gate,2021
5,5,269,164,104,SUN,Lion's Gate,2021
6,6,603,350,252,SUN,Lion's Gate,2021
7,7,989,621,367,SUN,Lion's Gate,2021
8,8,1461,868,593,SUN,Lion's Gate,2021
9,9,2101,1134,966,SUN,Lion's Gate,2021
10,10,2732,1442,1289,SUN,Lion's Gate,2021
11,11,3235,1678,1557,SUN,Lion's Gate,2021
12,12,3486,1752,1733,SUN,Lion's Gate,2021
13,13,3551,1818,1732,SUN,Lion's Gate,2021
14,14,3539,1814,1725,SUN,Lion's Gate,2021
15,15,3418,1761,1656,SUN,Lion's Gate,2021
16,16,3262,1621,1640,SUN,Lion's Gate,2021
17,17,3073,1464,1609,SUN,Lion's Gate,2021
18,18,2735,1221,1513,SUN,Lion's Gate,2021
19,19,2383,1019,1364,SUN,Lion's Gate,2021
20,20,2128,894,1234,SUN,Lion's Gate,2021
21,21,1798,812,985,SUN,Lion's Gate,2021
22,22,1302,609,693,SUN,Lion's Gate,2021
23,23,781,380,401,SUN,Lion's Gate,2021
0,0,424,216,207,MON,Lion's Gate,2021
1,1,212,107,104,MON,Lion's Gate,2021
2,2,121,69,52,MON,Lion's Gate,2021
3,3,97,51,45,MON,Lion's Gate,2021
4,4,151,76,74,MON,Lion's Gate,2021
5,5,519,281,238,MON,Lion's Gate,2021
6,6,1478,676,801,MON,Lion's Gate,2021
7,7,2865,1203,1662,MON,Lion's Gate,2021
8,8,3434,1324,2109,MON,Lion's Gate,2021
9,9,3111,1371,1740,MON,Lion's Gate,2021
10,10,3000,1418,1582,MON,Lion's Gate,2021
11,11,3108,1537,1571,MON,Lion's Gate,2021
12,12,3193,1585,1608,MON,Lion's Gate,2021
13,13,3246,1692,1553,MON,Lion's Gate,2021
14,14,3425,1774,1651,MON,Lion's Gate,2021
15,15,3531,1816,1715,MON,Lion's Gate,2021
16,16,3632,1963,1668,MON,Lion's Gate,2021
17,17,3638,2058,1580,MON,Lion's Gate,2021
18,18,3066,1645,1421,MON,Lion's Gate,2021
19,19,2349,1138,1210,MON,Lion's Gate,2021
20,20,1897,892,1005,MON,Lion's Gate,2021
21,21,1530,750,780,MON,Lion's Gate,2021
22,22,1114,547,567,MON,Lion's Gate,2021
