,Time,Road,PDir,NDir,Weekday,Bridge,Year
0,0,1050,559,490,SUN,Second Narrows,2021
1,1,559,299,260,SUN,Second Narrows,2021
2,2,375,207,167,SUN,Second Narrows,2021
3,3,265,133,132,SUN,Second Narrows,2021
4,4,398,161,237,SUN,Second Narrows,2021
5,5,895,282,612,SUN,Second Narrows,2021
6,6,1688,576,1112,SUN,Second Narrows,2021
7,7,2431,890,1541,SUN,Second Narrows,2021
8,8,3324,1345,1978,SUN,Second Narrows,2021
9,9,4709,2081,2627,SUN,Second Narrows,2021
10,10,6035,2840,3194,SUN,Second Narrows,2021
11,11,6980,3409,3570,SUN,Second Narrows,2021
12,12,7622,3814,3807,SUN,Second Narrows,2021
13,13,7898,3904,3993,SUN,Second Narrows,2021
14,14,8095,4127,3968,SUN,Second Narrows,2021
15,15,7922,4204,3718,SUN,Second Narrows,2021
16,16,7390,4084,3305,SUN,Second Narrows,2021
17,17,6638,3816,2822,SUN,Second Narrows,2021
18,18,5464,3208,2255,SUN,Second Narrows,2021
19,19,4433,2615,1818,SUN,Second Narrows,2021
20,20,3796,2254,1541,SUN,Second Narrows,2021
21,21,2947,1684,1263,SUN,Second Narrows,2021
22,22,2123,1219,903,SUN,Second Narrows,2021
23,23,1225,712,512,SUN,Second Narrows,2021
0,0,691,392,298,MON,Second Narrows,2021
1,1,325,178,146,MON,Second Narrows,2021
2,2,222,122,99,MON,Second Narrows,2021
3,3,250,114,135,MON,Second Narrows,2021
4,4,768,260,508,MON,Second Narrows,2021
5,5,2875,956,1919,MON,Second Narrows,2021
6,6,5979,2407,3571,MON,Second Narrows,2021
7,7,7364,3372,3992,MON,Second Narrows,2021
8,8,7326,3406,3919,MON,Second Narrows,2021
9,9,6877,3116,3760,MON,Second Narrows,2021
10,10,6615,3118,3496,MON,Second Narrows,2021
11,11,6887,3397,3490,MON,Second Narrows,2021
12,12,7217,3698,3519,MON,Second Narrows,2021
13,13,7348,3744,3604,MON,Second Narrows,2021
14,14,8071,4284,3787,MON,Second Narrows,2021
15,15,8594,4568,4025,MON,Second Narrows,2021
16,16,8619,4447,4172,MON,Second Narrows,2021
17,17,7997,4122,3875,MON,Second Narrows,2021
18,18,5984,3268,2716,MON,Second Narrows,2021
