,Hour,Trips,PDir,NDir,Weekday,Bridge,Year
0,0,1167,462,705,SUN,Lion's Gate,2018
1,1,784,320,463,SUN,Lion's Gate,2018
2,2,534,233,301,SUN,Lion's Gate,2018
3,3,391,174,217,SUN,Lion's Gate,2018
4,4,263,130,133,SUN,Lion's Gate,2018
5,5,343,173,169,SUN,Lion's Gate,2018
6,6,745,347,397,SUN,Lion's Gate,2018
7,7,1190,505,685,SUN,Lion's Gate,2018
8,8,1723,774,949,SUN,Lion's Gate,2018
9,9,2443,1216,1227,SUN,Lion's Gate,2018
10,10,3072,1571,1501,SUN,Lion's Gate,2018
11,11,3479,1755,1724,SUN,Lion's Gate,2018
12,12,3666,1858,1808,SUN,Lion's Gate,2018
13,13,3685,1822,1863,SUN,Lion's Gate,2018
14,14,3801,1857,1944,SUN,Lion's Gate,2018
15,15,3728,1813,1915,SUN,Lion's Gate,2018
16,16,3656,1787,1869,SUN,Lion's Gate,2018
17,17,3593,1811,1782,SUN,Lion's Gate,2018
18,18,3208,1763,1445,SUN,Lion's Gate,2018
19,19,2709,1521,1188,SUN,Lion's Gate,2018
20,20,2462,1369,1093,SUN,Lion's Gate,2018
21,21,2161,1095,1065,SUN,Lion's Gate,2018
22,22,1654,798,856,SUN,Lion's Gate,2018
0,0,635,268,366,MON,Lion's Gate,2018
1,1,328,131,198,MON,Lion's Gate,2018
2,2,192,81,111,MON,Lion's Gate,2018
3,3,158,75,83,MON,Lion's Gate,2018
4,4,214,124,90,MON,Lion's Gate,2018
5,5,617,352,265,MON,Lion's Gate,2018
6,6,1805,1081,724,MON,Lion's Gate,2018
7,7,3764,2487,1277,MON,Lion's Gate,2018
8,8,4370,2951,1419,MON,Lion's Gate,2018
9,9,3832,2376,1455,MON,Lion's Gate,2018
10,10,3435,1868,1567,MON,Lion's Gate,2018
11,11,3517,1830,1688,MON,Lion's Gate,2018
12,12,3557,1788,1770,MON,Lion's Gate,2018
13,13,3565,1720,1844,MON,Lion's Gate,2018
14,14,3735,1741,1994,MON,Lion's Gate,2018
15,15,3904,1788,2116,MON,Lion's Gate,2018
16,16,4165,1695,2470,MON,Lion's Gate,2018
17,17,4204,1601,2603,MON,Lion's Gate,2018
18,18,3678,1556,2121,MON,Lion's Gate,2018
19,19,2818,1351,1467,MON,Lion's Gate,2018
20,20,2268,1102,1166,MON,Lion's Gate,2018
21,21,2069,957,1112,MON,Lion's Gate,2018
22,22,1535,682,853,MON,Lion's Gate,2018
0,0,454,183,271,TUE,Lion's Gate,2018
1,1,233,90,143,TUE,Lion's Gate,2018
2,2,140,58,82,TUE,Lion's Gate,2018
3,3,117,57,60,TUE,Lion's Gate,2018
4,4,192,115,77,TUE,Lion's Gate,2018
5,5,663,389,273,TUE,Lion's Gate,2018
6,6,2041,1250,791,TUE,Lion's Gate,2018
7,7,4388,2980,1408,TUE,Lion's Gate,2018
8,8,4958,3432,1526,TUE,Lion's Gate,2018
9,9,4214,2713,1502,TUE,Lion's Gate,2018
10,10,3584,2023,1561,TUE,Lion's Gate,2018
11,11,3521,1853,1668,TUE,Lion's Gate,2018
12,12,3560,1823,1737,TUE,Lion's Gate,2018
13,13,3507,1650,1857,TUE,Lion's Gate,2018
14,14,3762,1704,2058,TUE,Lion's Gate,2018
15,15,4019,1784,2235,TUE,Lion's Gate,2018
16,16,4322,1656,2666,TUE,Lion's Gate,2018
17,17,4480,1640,2841,TUE,Lion's Gate,2018
18,18,4015,1589,2426,TUE,Lion's Gate,2018
19,19,3000,1316,1684,TUE,Lion's Gate,2018
20,20,2424,1101,1323,TUE,Lion's Gate,2018
21,21,2236,951,1285,TUE,Lion's Gate,2018
22,22,1749,683,1066,TUE,Lion's Gate,2018
0,0,506,190,316,WED,Lion's Gate,2018
1,1,255,96,159,WED,Lion's Gate,2018
2,2,152,62,89,WED,Lion's Gate,2018
3,3,126,61,66,WED,Lion's Gate,2018
4,4,196,119,77,WED,Lion's Gate,2018
5,5,664,388,276,WED,Lion's Gate,2018
6,6,2046,1239,807,WED,Lion's Gate,2018
7,7,4385,2951,1434,WED,Lion's Gate,2018
8,8,4958,3432,1526,WED,Lion's Gate,2018
9,9,4246,2692,1553,WED,Lion's Gate,2018
10,10,3668,2050,1617,WED,Lion's Gate,2018
11,11,3618,1943,1675,WED,Lion's Gate,2018
12,12,3613,1810,1803,WED,Lion's Gate,2018
13,13,3597,1711,1887,WED,Lion's Gate,2018
14,14,3858,1753,2105,WED,Lion's Gate,2018
15,15,4092,1788,2305,WED,Lion's Gate,2018
16,16,4342,1663,2679,WED,Lion's Gate,2018
17,17,4454,1585,2868,WED,Lion's Gate,2018
18,18,4088,1644,2444,WED,Lion's Gate,2018
19,19,3039,1339,1700,WED,Lion's Gate,2018
20,20,2461,1137,1324,WED,Lion's Gate,2018
21,21,2426,1028,1398,WED,Lion's Gate,2018
22,22,1830,727,1103,WED,Lion's Gate,2018
0,0,532,205,328,THU,Lion's Gate,2018
1,1,271,108,163,THU,Lion's Gate,2018
2,2,161,68,93,THU,Lion's Gate,2018
3,3,126,62,64,THU,Lion's Gate,2018
4,4,202,117,85,THU,Lion's Gate,2018
5,5,650,374,277,THU,Lion's Gate,2018
6,6,2045,1227,817,THU,Lion's Gate,2018
7,7,4349,2918,1431,THU,Lion's Gate,2018
8,8,5016,3468,1548,THU,Lion's Gate,2018
9,9,4255,2681,1575,THU,Lion's Gate,2018
10,10,3746,2103,1643,THU,Lion's Gate,2018
11,11,3654,1918,1737,THU,Lion's Gate,2018
12,12,3685,1847,1837,THU,Lion's Gate,2018
13,13,3662,1732,1931,THU,Lion's Gate,2018
14,14,3878,1784,2094,THU,Lion's Gate,2018
15,15,4154,1756,2398,THU,Lion's Gate,2018
16,16,4364,1678,2686,THU,Lion's Gate,2018
17,17,4453,1608,2844,THU,Lion's Gate,2018
18,18,4185,1689,2496,THU,Lion's Gate,2018
19,19,3244,1458,1786,THU,Lion's Gate,2018
20,20,2634,1182,1452,THU,Lion's Gate,2018
21,21,2526,1083,1443,THU,Lion's Gate,2018
22,22,2026,799,1228,THU,Lion's Gate,2018
0,0,622,238,384,FRI,Lion's Gate,2018
1,1,339,129,211,FRI,Lion's Gate,2018
2,2,207,85,122,FRI,Lion's Gate,2018
3,3,150,73,78,FRI,Lion's Gate,2018
4,4,209,117,91,FRI,Lion's Gate,2018
5,5,643,354,289,FRI,Lion's Gate,2018
6,6,1915,1111,804,FRI,Lion's Gate,2018
7,7,3992,2597,1396,FRI,Lion's Gate,2018
8,8,4621,3135,1486,FRI,Lion's Gate,2018
9,9,3911,2350,1561,FRI,Lion's Gate,2018
10,10,3653,2037,1616,FRI,Lion's Gate,2018
11,11,3654,1891,1762,FRI,Lion's Gate,2018
12,12,3831,1865,1966,FRI,Lion's Gate,2018
13,13,3855,1753,2102,FRI,Lion's Gate,2018
14,14,4020,1798,2222,FRI,Lion's Gate,2018
15,15,4186,1759,2427,FRI,Lion's Gate,2018
16,16,4272,1598,2674,FRI,Lion's Gate,2018
17,17,4341,1565,2776,FRI,Lion's Gate,2018
18,18,3977,1687,2290,FRI,Lion's Gate,2018
19,19,3207,1494,1713,FRI,Lion's Gate,2018
20,20,2534,1204,1329,FRI,Lion's Gate,2018
21,21,2368,1087,1281,FRI,Lion's Gate,2018
22,22,2130,906,1224,FRI,Lion's Gate,2018
0,0,1036,398,638,SAT,Lion's Gate,2018
1,1,695,281,415,SAT,Lion's Gate,2018
2,2,479,205,275,SAT,Lion's Gate,2018
3,3,339,153,185,SAT,Lion's Gate,2018
4,4,243,121,122,SAT,Lion's Gate,2018
5,5,398,187,210,SAT,Lion's Gate,2018
6,6,889,381,508,SAT,Lion's Gate,2018
7,7,1574,677,897,SAT,Lion's Gate,2018
8,8,2458,1143,1315,SAT,Lion's Gate,2018
9,9,3103,1533,1570,SAT,Lion's Gate,2018
10,10,3553,1739,1814,SAT,Lion's Gate,2018
11,11,3746,1835,1911,SAT,Lion's Gate,2018
12,12,3889,1891,1998,SAT,Lion's Gate,2018
13,13,3933,1892,2041,SAT,Lion's Gate,2018
14,14,3899,1852,2047,SAT,Lion's Gate,2018
15,15,3845,1850,1995,SAT,Lion's Gate,2018
16,16,3828,1860,1968,SAT,Lion's Gate,2018
17,17,3725,1835,1890,SAT,Lion's Gate,2018
18,18,3516,1903,1613,SAT,Lion's Gate,2018
19,19,2984,1670,1314,SAT,Lion's Gate,2018
20,20,2382,1252,1130,SAT,Lion's Gate,2018
21,21,2235,1083,1152,SAT,Lion's Gate,2018
22,22,2185,927,1258,SAT,Lion's Gate,2018
