,Hour,Trips,PDir,NDir,Weekday,Bridge,Year
0,0,1540,837,704,SUN,Second Narrows,2017
1,1,883,487,396,SUN,Second Narrows,2017
2,2,557,310,248,SUN,Second Narrows,2017
3,3,417,227,190,SUN,Second Narrows,2017
4,4,429,254,175,SUN,Second Narrows,2017
5,5,804,492,313,SUN,Second Narrows,2017
6,6,1695,1055,641,SUN,Second Narrows,2017
7,7,2566,1539,1027,SUN,Second Narrows,2017
8,8,3650,2090,1559,SUN,Second Narrows,2017
9,9,5291,2749,2542,SUN,Second Narrows,2017
10,10,6728,3434,3294,SUN,Second Narrows,2017
11,11,7396,3720,3676,SUN,Second Narrows,2017
12,12,8015,3970,4045,SUN,Second Narrows,2017
13,13,8205,4111,4094,SUN,Second Narrows,2017
14,14,8355,4101,4254,SUN,Second Narrows,2017
15,15,8333,3996,4336,SUN,Second Narrows,2017
16,16,8032,3730,4302,SUN,Second Narrows,2017
17,17,7394,3283,4112,SUN,Second Narrows,2017
18,18,6047,2574,3473,SUN,Second Narrows,2017
19,19,4977,2105,2872,SUN,Second Narrows,2017
20,20,4320,1956,2364,SUN,Second Narrows,2017
21,21,3685,1666,2019,SUN,Second Narrows,2017
22,22,2514,1239,1275,SUN,Second Narrows,2017
23,23,1540,727,813,SUN,Second Narrows,2017
0,0,837,444,393,MON,Second Narrows,2017
1,1,400,207,193,MON,Second Narrows,2017
2,2,257,139,118,MON,Second Narrows,2017
3,3,287,154,133,MON,Second Narrows,2017
4,4,712,441,271,MON,Second Narrows,2017
5,5,2644,1702,942,MON,Second Narrows,2017
6,6,6177,3499,2678,MON,Second Narrows,2017
7,7,8498,4177,4321,MON,Second Narrows,2017
8,8,8181,3998,4183,MON,Second Narrows,2017
9,9,7505,3873,3631,MON,Second Narrows,2017
10,10,6972,3600,3373,MON,Second Narrows,2017
11,11,7187,3590,3597,MON,Second Narrows,2017
12,12,7359,3617,3742,MON,Second Narrows,2017
13,13,7550,3685,3866,MON,Second Narrows,2017
14,14,8436,3978,4458,MON,Second Narrows,2017
15,15,9022,4283,4739,MON,Second Narrows,2017
16,16,9378,4668,4710,MON,Second Narrows,2017
17,17,9038,4606,4432,MON,Second Narrows,2017
18,18,6732,3257,3475,MON,Second Narrows,2017
19,19,5014,2310,2704,MON,Second Narrows,2017
20,20,3963,1942,2021,MON,Second Narrows,2017
21,21,3418,1694,1724,MON,Second Narrows,2017
22,22,2365,1149,1216,MON,Second Narrows,2017
23,23,1392,650,742,MON,Second Narrows,2017
0,0,751,392,359,TUE,Second Narrows,2017
1,1,359,181,178,TUE,Second Narrows,2017
2,2,237,120,117,TUE,Second Narrows,2017
3,3,274,146,128,TUE,Second Narrows,2017
4,4,747,461,286,TUE,Second Narrows,2017
5,5,3025,1943,1082,TUE,Second Narrows,2017
6,6,7239,4042,3197,TUE,Second Narrows,2017
7,7,9719,4702,5017,TUE,Second Narrows,2017
8,8,9188,4343,4845,TUE,Second Narrows,2017
9,9,8087,4085,4002,TUE,Second Narrows,2017
10,10,7284,3708,3577,TUE,Second Narrows,2017
11,11,7091,3505,3586,TUE,Second Narrows,2017
12,12,7313,3595,3718,TUE,Second Narrows,2017
13,13,7458,3649,3809,TUE,Second Narrows,2017
14,14,8438,3977,4461,TUE,Second Narrows,2017
15,15,9319,4507,4812,TUE,Second Narrows,2017
16,16,9915,5058,4857,TUE,Second Narrows,2017
17,17,9745,5057,4688,TUE,Second Narrows,2017
18,18,7474,3731,3743,TUE,Second Narrows,2017
19,19,5147,2452,2695,TUE,Second Narrows,2017
20,20,4098,2052,2047,TUE,Second Narrows,2017
21,21,3707,1878,1829,TUE,Second Narrows,2017
22,22,2547,1311,1236,TUE,Second Narrows,2017
23,23,1463,698,765,TUE,Second Narrows,2017
0,0,811,422,389,WED,Second Narrows,2017
1,1,398,206,192,WED,Second Narrows,2017
2,2,266,136,130,WED,Second Narrows,2017
3,3,282,150,132,WED,Second Narrows,2017
4,4,757,473,284,WED,Second Narrows,2017
5,5,2982,1933,1049,WED,Second Narrows,2017
6,6,7280,4085,3196,WED,Second Narrows,2017
7,7,9813,4775,5038,WED,Second Narrows,2017
8,8,9360,4488,4872,WED,Second Narrows,2017
9,9,8296,4215,4080,WED,Second Narrows,2017
10,10,7467,3762,3706,WED,Second Narrows,2017
11,11,7382,3604,3778,WED,Second Narrows,2017
12,12,7433,3646,3787,WED,Second Narrows,2017
13,13,7649,3736,3913,WED,Second Narrows,2017
14,14,8659,4110,4549,WED,Second Narrows,2017
15,15,9310,4532,4778,WED,Second Narrows,2017
16,16,9836,5056,4780,WED,Second Narrows,2017
17,17,9593,4949,4645,WED,Second Narrows,2017
18,18,7693,3716,3976,WED,Second Narrows,2017
19,19,5399,2554,2845,WED,Second Narrows,2017
20,20,4241,2124,2117,WED,Second Narrows,2017
21,21,3763,1932,1831,WED,Second Narrows,2017
22,22,2679,1353,1326,WED,Second Narrows,2017
23,23,1569,754,816,WED,Second Narrows,2017
0,0,844,443,401,THU,Second Narrows,2017
1,1,415,211,204,THU,Second Narrows,2017
