,,,,,BC Ministry of Transportation and Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Annual Hourly Day of Week Summary for  ,,,,,,,,,, 2020,,,,,,,,
,Site names:,,Second Narrows P-15-2EW - NY,,,,,,,,,,,Seasonal Factor Grp:,,,,Consistent,,,,,,,,,,,
,,,,,,,,,,,,,,Daily Factor Grp:,,,,Consistent,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location:,,"Route 1, at the east end of the Second Narrows Bridge, Vancouver",,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUN,,,,,MON,,,TUE,,,,,WED,,,,THU,,,FRI,,,,SAT,,,
,,Road,,PDir,,NDir,Road,PDir,NDir,Road,,PDir,NDir,,Road,PDir,NDir,,Road,PDir,NDir,Road,PDir,NDir,,Road,PDir,NDir,
00:00,,948,,483,,464,609,336,273,568,,304,263,,628,333,294,,594,306,288,655,344,311,,909,471,438,
01:00,,527,,278,,249,295,163,132,289,,166,122,,329,181,148,,303,168,134,337,186,151,,514,278,235,
02:00,,340,,180,,160,209,110,99,216,,125,91,,244,139,105,,239,135,104,244,135,108,,353,192,160,
03:00,,250,,125,,124,248,112,135,257,,117,140,,268,123,144,,268,123,144,271,125,145,,284,139,145,
04:00,,390,,157,,233,766,259,507,815,,270,545,,803,273,530,,837,281,556,804,271,532,,496,194,301,
05:00,,835,,289,,546,"2,791",934,"1,856","3,051",,"1,012","2,039",,"2,929",963,"1,966",,"3,011",983,"2,028","2,795",918,"1,876",,"1,137",368,768,
06:00,,"1,576",,558,,"1,017","5,770","2,293","3,476","6,467",,"2,573","3,893",,"6,141","2,426","3,714",,"6,319","2,482","3,837","5,865","2,269","3,596",,"2,118",753,"1,364",
07:00,,"2,118",,787,,"1,330","6,938","3,242","3,696","7,705",,"3,637","4,067",,"7,352","3,418","3,934",,"7,702","3,593","4,108","7,097","3,261","3,835",,"3,155","1,183","1,972",
08:00,,"2,915",,"1,189",,"1,726","6,648","3,200","3,447","7,335",,"3,550","3,784",,"7,044","3,353","3,691",,"7,354","3,541","3,812","6,972","3,304","3,667",,"4,418","1,806","2,612",
09:00,,"4,216",,"1,896",,"2,319","6,258","2,931","3,326","6,631",,"3,181","3,449",,"6,542","3,083","3,458",,"6,741","3,223","3,518","6,612","3,123","3,489",,"5,667","2,544","3,122",
10:00,,"5,432",,"2,548",,"2,883","6,094","2,933","3,160","6,254",,"3,062","3,192",,"6,258","3,027","3,231",,"6,482","3,187","3,294","6,532","3,175","3,357",,"6,514","3,085","3,428",
11:00,,"6,365",,"3,134",,"3,231","6,367","3,170","3,196","6,389",,"3,251","3,138",,"6,446","3,234","3,211",,"6,640","3,381","3,259","6,992","3,539","3,452",,"7,159","3,498","3,660",
