Site Names:,,Lions Gate P-15-1NS - NY,,,,,,,,,Seasonal Factor Group:,,,Consistent,,,,,,,,
County:,,N/A,,,,,,,,,Daily Factor Group:,,,Consistent,,,,,,,,
Funct. Class:,,,,,,,,,,Axle Factor Group:,,,,,,,,,,,,
Location:,,"Route 99, at the south end of the First Narrows Bridge, Vancouver",,,,,,,,,Growth Factor Group:,,,Consistent,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir
0:00,,1167,462,705,635,268,366,454,183,271,506,190,316,532,205,328,622,238,384,1036,398,638
1:00,,784,320,463,328,131,198,233,90,143,255,96,159,271,108,163,339,129,211,695,281,415
2:00,,534,233,301,192,81,111,140,58,82,152,62,89,161,68,93,207,85,122,479,205,275
3:00,,391,174,217,158,75,83,117,57,60,126,61,66,126,62,64,150,73,78,339,153,185
4:00,,263,130,133,214,124,90,192,115,77,196,119,77,202,117,85,209,117,91,243,121,122
5:00,,343,173,169,617,352,265,663,389,273,664,388,276,650,374,277,643,354,289,398,187,210
6:00,,745,347,397,1805,1081,724,2041,1250,791,2046,1239,807,2045,1227,817,1915,1111,804,889,381,508
7:00,,1190,505,685,3764,2487,1277,4388,2980,1408,4385,2951,1434,4349,2918,1431,3992,2597,1396,1574,677,897
8:00,,1723,774,949,4370,2951,1419,4958,3432,1526,4958,3432,1526,5016,3468,1548,4621,3135,1486,2458,1143,1315
9:00,,2443,1216,1227,3832,2376,1455,4214,2713,1502,4246,2692,1553,4255,2681,1575,3911,2350,1561,3103,1533,1570
10:00,,3072,1571,1501,3435,1868,1567,3584,2023,1561,3668,2050,1617,3746,2103,1643,3653,2037,1616,3553,1739,1814
11:00,,3479,1755,1724,3517,1830,1688,3521,1853,1668,3618,1943,1675,3654,1918,1737,3654,1891,1762,3746,1835,1911
12:00,,3666,1858,1808,3557,1788,1770,3560,1823,1737,3613,1810,1803,3685,1847,1837,3831,1865,1966,3889,1891,1998
13:00,,3685,1822,1863,3565,1720,1844,3507,1650,1857,3597,1711,1887,3662,1732,1931,3855,1753,2102,3933,1892,2041
14:00,,3801,1857,1944,3735,1741,1994,3762,1704,2058,3858,1753,2105,3878,1784,2094,4020,1798,2222,3899,1852,2047
15:00,,3728,1813,1915,3904,1788,2116,4019,1784,2235,4092,1788,2305,4154,1756,2398,4186,1759,2427,3845,1850,1995
16:00,,3656,1787,1869,4165,1695,2470,4322,1656,2666,4342,1663,2679,4364,1678,2686,4272,1598,2674,3828,1860,1968
17:00,,3593,1811,1782,4204,1601,2603,4480,1640,2841,4454,1585,2868,4453,1608,2844,4341,1565,2776,3725,1835,1890
18:00,,3208,1763,1445,3678,1556,2121,4015,1589,2426,4088,1644,2444,4185,1689,2496,3977,1687,2290,3516,1903,1613
19:00,,2709,1521,1188,2818,1351,1467,3000,1316,1684,3039,1339,1700,3244,1458,1786,3207,1494,1713,2984,1670,1314
20:00,,2462,1369,1093,2268,1102,1166,2424,1101,1323,2461,1137,1324,2634,1182,1452,2534,1204,1329,2382,1252,1130
21:00,,2161,1095,1065,2069,957,1112,2236,951,1285,2426,1028,1398,2526,1083,1443,2368,1087,1281,2235,1083,1152
22:00,,1654,798,856,1535,682,853,1749,683,1066,1830,727,1103,2026,799,1228,2130,906,1224,2185,927,1258
23:00,,1065,474,591,890,379,511,968,379,590,1066,408,658,1167,457,710,1571,632,938,1703,673,1030
AADW,,51519,25628,25890,59253,29984,29269,62547,31417,31130,63687,31817,31870,64987,32322,32664,64205,31463,32742,56636,27341,29295
NDAYS,,52,52,52,52,52,52,50,50,50,53,53,53,52,52,52,52,52,52,52,52,52
