Site Names:,Second Narrows P-15-2EW - NY,,,,,,,,,Seasonal Factor Group:,,,Consistent,,,,,,,,
County:,N/A,,,,,,,,,Daily Factor Group:,,,Consistent,,,,,,,,
Funct. Class:,,,,,,,,,Axle Factor Group:,,,,,,,,,,,,
Location:,"Route 1, at the east end of the Second Narrows Bridge, Vancouver",,,,,,,,,Growth Factor Group:,,,Consistent,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir,Road,Neg Dir,Pos Dir
0:00,1570,841,729,934,448,486,754,374,380,808,413,395,815,425,390,937,472,465,1379,738,640
1:00,858,461,397,464,239,225,349,172,177,369,187,182,403,204,199,449,228,221,792,427,365
2:00,537,294,244,280,147,134,238,117,121,258,128,130,275,136,139,319,160,159,503,272,231
3:00,402,211,191,299,153,145,289,147,143,302,146,156,306,153,153,330,163,166,395,211,184
4:00,432,251,181,724,448,276,763,478,286,773,482,291,785,498,287,782,492,290,535,326,209
5:00,834,502,332,2745,1752,993,3201,2067,1134,3137,2035,1102,3134,2042,1091,2995,1954,1041,1173,744,429
6:00,1722,1065,657,6241,3580,2661,7435,4228,3207,7407,4223,3184,7340,4185,3155,7010,4130,2880,2374,1475,900
7:00,2563,1511,1052,8101,3993,4108,9572,4624,4948,9695,4706,4990,9607,4660,4946,9269,4594,4675,3806,2265,1541
8:00,3505,1966,1539,7762,3806,3956,9039,4236,4802,9126,4343,4783,9208,4388,4819,8775,4322,4453,5559,3190,2369
9:00,5289,2707,2582,7197,3682,3515,7937,3972,3965,7928,4030,3897,8105,4096,4009,7935,4032,3903,6930,3666,3264
10:00,6710,3369,3341,6907,3543,3364,7112,3615,3497,7229,3676,3553,7479,3779,3700,7608,3802,3806,7509,3783,3726
11:00,7345,3657,3687,7128,3561,3566,7165,3528,3636,7261,3545,3716,7456,3661,3795,7828,3857,3970,7872,3925,3948
12:00,7958,3868,4090,7284,3596,3688,7203,3538,3665,7267,3492,3775,7532,3665,3866,7981,3858,4123,8166,4020,4146
13:00,8195,4090,4105,7467,3645,3822,7419,3617,3801,7622,3721,3901,7768,3785,3983,8222,4033,4189,8366,4184,4182
14:00,8250,4058,4192,8408,3948,4459,8475,3987,4489,8652,4067,4585,8670,4131,4539,9016,4449,4567,8538,4228,4310
15:00,8224,3932,4292,8944,4234,4710,9373,4499,4874,9322,4523,4798,9341,4544,4798,9394,4674,4720,8584,4189,4395
16:00,7960,3750,4209,9306,4634,4673,9846,5020,4826,9839,5024,4816,9754,4962,4792,9621,4855,4767,8359,3944,4415
17:00,7178,3258,3919,8827,4495,4332,9342,4842,4500,9570,4938,4633,9585,4941,4644,9204,4714,4490,7879,3529,4351
18:00,5863,2560,3303,6650,3237,3413,7248,3675,3572,7436,3719,3717,7818,3921,3896,7760,3865,3895,6721,2932,3788
19:00,4849,2132,2717,4884,2272,2612,5195,2483,2712,5308,2496,2812,5578,2665,2913,5658,2724,2934,4880,2173,2706
20:00,4143,1883,2260,3896,1887,2009,4165,2080,2084,4296,2128,2168,4489,2263,2226,4250,2060,2190,3883,1821,2062
21:00,3443,1648,1795,3302,1645,1656,3624,1880,1743,3724,1951,1773,3899,2003,1896,3804,1896,1908,3749,1834,1915
22:00,2462,1194,1268,2279,1095,1184,2526,1266,1260,2631,1305,1326,2873,1437,1436,3288,1610,1679,3381,1672,1710
23:00,1509,710,799,1296,623,672,1374,665,710,1475,731,744,1589,781,808,2132,1072,1060,2368,1200,1168
AADW,101802,49920,51882,121325,60665,60660,129643,65110,64534,131433,66007,65426,133809,67324,66484,134567,68016,66551,113704,56749,56955
NDAYS,49,49,49,49,49,49,47,47,47,49,49,49,49,49,49,49,49,49,49,49,49
X,,,,,,,,,,,,,,,,,,,,,
